 ,Area,Mean,X,Y,Circ.,AR,Round,Solidity
4124,0.034,134.931,204.642,115.798,1.000,1.553,0.644,0.909
4125,0.189,182.661,55.317,115.993,1.000,1.139,0.878,0.903
4126,0.135,159.436,210.788,115.913,0.925,1.619,0.618,0.909
4127,0.168,155.901,223.393,116.284,0.954,1.377,0.726,0.862
4128,0.175,159.276,211.517,116.502,0.993,1.372,0.729,0.867
4129,0.047,176.779,216.702,116.436,0.800,1.267,0.790,0.778
4130,0.027,137.464,199.260,116.512,1.000,2.031,0.492,0.800
4131,0.545,90.609,20.319,117.053,0.923,1.125,0.889,0.900
4132,0.633,119.958,148.794,117.009,0.880,1.379,0.725,0.895
4133,0.101,173.577,225.817,116.722,0.898,1.869,0.535,0.909
4134,0.081,194.934,231.403,116.751,1.000,1.281,0.780,0.857
4135,0.263,130.621,198.618,117.077,0.883,1.209,0.827,0.857
4136,0.148,317.197,242.232,117.004,1.000,1.176,0.850,0.880
4137,0.061,104.915,13.661,116.963,1.000,1.000,1.000,1.000
4138,0.047,129.976,206.562,117.350,1.000,1.069,0.936,0.875
4139,0.242,148.398,210.410,117.551,1.000,1.149,0.870,0.878
4140,0.040,126.439,148.224,117.743,1.000,1.500,0.667,1.000
4141,0.148,171.295,225.926,117.877,0.988,1.113,0.898,0.880
4142,0.040,125.504,200.532,117.866,1.000,1.500,0.667,1.000
4143,0.067,148.985,123.691,118.046,1.000,1.236,0.809,0.909
4144,0.424,187.845,58.327,118.487,0.983,1.189,0.841,0.906
4145,0.350,127.757,201.344,118.421,0.922,1.331,0.751,0.860
4146,0.067,153.395,224.737,118.260,1.000,1.327,0.753,0.909
4147,0.175,202.011,226.990,118.333,0.993,1.415,0.707,0.881
4148,0.189,191.328,61.142,118.631,1.000,1.014,0.986,0.889
4149,0.135,147.839,220.618,118.699,1.000,1.203,0.831,0.851
4150,0.081,173.840,4.533,118.714,1.000,1.135,0.881,0.857
4151,0.054,145.895,204.470,118.943,1.000,1.308,0.764,0.800
4152,0.013,184.002,104.574,119.138,1.000,2.000,0.500,1.000
4153,0.020,185.589,207.492,119.479,1.000,1.464,0.683,0.857
4154,0.047,140.286,219.444,119.729,1.000,1.069,0.936,0.875
4155,0.101,144.365,222.316,119.753,1.000,1.667,0.600,1.000
4156,0.195,124.695,218.697,120.078,0.977,1.352,0.740,0.906
4157,0.141,189.265,92.493,120.230,0.943,1.311,0.763,0.875
4158,0.162,128.616,9.179,120.365,0.978,1.156,0.865,0.842
4159,0.276,150.593,124.364,120.485,0.866,1.167,0.857,0.872
4160,0.081,169.588,193.674,120.505,0.967,1.579,0.633,0.889
4161,0.222,187.921,199.093,120.785,1.000,1.344,0.744,0.904
4162,0.108,180.096,118.896,120.840,1.000,1.234,0.810,0.889
4163,0.027,95.143,188.224,120.779,1.000,1.000,1.000,1.000
